Rv0124,149533,150996,1463,+,3.86,1
,,,,,,,Rv0124,3.86,
Rv0125 - Rv0128,151148,156446,5298,+,42.14,4
,,,,,,,Rv0125,53.44,
,,,,,,,Rv0126,32.76,48.99
,,,,,,,Rv0127,46.77,50.09
,,,,,,,Rv0128,31.0,31.91
Rv0129c,156578,157600,1022,-,230.24,1
,,,,,,,Rv0129c,230.24,
Rv0130,157847,158302,455,+,10.41,1
,,,,,,,Rv0130,10.41,
Rv0131c - Rv0132c,158315,160782,2467,-,11.18,2
,,,,,,,Rv0131c,14.76,
,,,,,,,Rv0132c,13.96,4.81
Rv0133,160869,161474,605,+,22.17,1
,,,,,,,Rv0133,22.17,
Rv0134,161771,162673,902,+,87.76,1
,,,,,,,Rv0134,87.76,
Rv0135c,162644,163249,605,-,80.75,1
,,,,,,,Rv0135c,80.75,
Rv0136,163366,164691,1325,+,23.69,1
,,,,,,,Rv0136,23.69,
Rv0137c,164712,165260,548,-,66.7,1
,,,,,,,Rv0137c,66.7,
Rv0138 - Rv0140,165323,167290,1967,+,40.16,3
,,,,,,,Rv0138,22.04,
,,,,,,,Rv0139,27.27,14.0
,,,,,,,Rv0140,86.07,51.41
Rv0141c,167271,167681,410,-,93.21,1
,,,,,,,Rv0141c,93.21,
Rv0142,167711,168637,926,+,26.94,1
,,,,,,,Rv0142,26.94,
Rv0143c,168704,170182,1478,-,24.18,1
,,,,,,,Rv0143c,24.18,
Rv0144 - Rv0145,170284,172168,1884,+,462.66,2
,,,,,,,Rv0144,411.32,
,,,,,,,Rv0145,665.2,311.45
Rv0146 - Rv0149,172211,176668,4457,+,91.01,4
,,,,,,,Rv0146,128.82,
,,,,,,,Rv0147,58.75,36.88
,,,,,,,Rv0148,111.45,74.55
,,,,,,,Rv0149,59.08,167.57
Rv0150c - Rv0154c,176665,183198,6533,-,18.51,5
,,,,,,,Rv0150c,30.59,
,,,,,,,Rv0151c,13.56,6.58
,,,,,,,Rv0152c,10.71,12.9
,,,,,,,Rv0153c,29.46,24.29
,,,,,,,Rv0154c,23.46,15.0
Rv0155 - Rv0157,183622,186479,2857,+,33.61,3
,,,,,,,Rv0155,9.86,
,,,,,,,Rv0156,34.52,37.0
,,,,,,,Rv0157,53.07,
Rv0157A,186495,186623,128,-,239.06,1
,,,,,,,Rv0157A,239.06,
Rv0158,186785,187429,644,+,60.88,1
,,,,,,,Rv0158,60.88,
Rv0159c - Rv0160c,187433,190439,3006,-,10.43,2
,,,,,,,Rv0159c,20.92,
,,,,,,,Rv0160c,4.45,5.92
Rv0161,190607,191956,1349,+,3.35,1
,,,,,,,Rv0161,3.35,
Rv0162c,191984,193135,1151,-,9.17,1
,,,,,,,Rv0162c,9.17,
Rv0163,193117,193572,455,+,17.49,1
,,,,,,,Rv0163,17.49,
Rv0164,193626,194111,485,+,144.82,1
,,,,,,,Rv0164,144.82,
Rv0165c,194144,194815,671,-,92.06,1
,,,,,,,Rv0165c,92.06,
Rv0166 - Rv0178,194993,209672,14679,+,329.77,13
,,,,,,,Rv0166,175.62,
,,,,,,,Rv0167,349.8,852.85
,,,,,,,Rv0168,172.24,180.0
,,,,,,,Rv0169,254.37,250.8
,,,,,,,Rv0170,314.15,
,,,,,,,Rv0171,276.98,
,,,,,,,Rv0172,243.88,
,,,,,,,Rv0173,201.07,
,,,,,,,Rv0174,347.34,
,,,,,,,Rv0175,291.97,1306.64
,,,,,,,Rv0176,79.9,
,,,,,,,Rv0177,166.01,
,,,,,,,Rv0178,142.55,
Rv0179c,209703,210812,1109,-,93.39,1
,,,,,,,Rv0179c,93.39,
Rv0180c - Rv0182c,210892,214140,3248,-,23.1,3
,,,,,,,Rv0180c,28.07,
,,,,,,,Rv0181c,19.49,23.89
,,,,,,,Rv0182c,22.05,22.0
Rv0183 - Rv0186,214088,218344,4256,+,21.92,4
,,,,,,,Rv0183,24.01,
,,,,,,,Rv0184,19.38,9.52
,,,,,,,Rv0185,18.2,
,,,,,,,Rv0186,35.57,24.84
Rv0186A,218390,218551,161,-,91.47,1
,,,,,,,Rv0186A,91.47,
Rv0187,218705,219367,662,+,23.46,1
,,,,,,,Rv0187,23.46,
Rv0188,219486,219917,431,+,1047.03,1
,,,,,,,Rv0188,1047.03,
Rv0189c,219996,221723,1727,-,112.93,1
,,,,,,,Rv0189c,112.93,
